IOM,FM10,2000,SV02,20003155,0,UNBLOCKED,4600341297,20,1,28/03/2017,Forklift 3.5 Toner,,Forklift 3.5 Toner,,,FM20-FM0C,"Yap, Federated States of Micronesia",0,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMZ,Straight Line Dep. based on acquisition date,5,0,28/03/2017,28/03/2017,19894.56,-43.6,19850.96,,,,,,,,19895,
IOM,FM10,2000,WT01,20002780,0,BLOCKED FOR ACQ,4600247216,10,1,07/12/2015,Boat,"30' Landing Craft w/ Cabin, 2-150HP Honda, trailer",30' Landing Craft,,,FM20-FM0C,"Yap, Federated States of Micronesia",YAP-OFF,36288,Mr Phillip RAFFILPIY,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMY,Straight Line Dep. based on useful lives,5,0,07/12/2015,01/12/2015,121000,-32266.67,88733.33,,,,,,,,0,
IOM,FM10,2000,WT01,20002847,0,BLOCKED FOR ACQ,,0,1,07/04/2016,Boats,32ft Open Type Passenger Skiff Boat (unused),32ft Open Type Passenger Skiff Boat (unused),,,FM30-FM0B,"Chuuk, Federated States of Micronesia",0,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMY,Straight Line Dep. based on useful lives,5,0,07/04/2016,01/04/2016,22500,-4500,18000,,,,,,,,0,
IOM,FM10,2000,WT01,20002851,0,BLOCKED FOR ACQ,4600260070,10,1,24/03/2016,Boats,32ft Open Type Passenger Skiff Boat,32ft Open Type Passenger Skiff Boat,,,FM30-FM0B,"Chuuk, Federated States of Micronesia",TKK-OFF,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMY,Straight Line Dep. based on useful lives,5,0,24/03/2016,01/03/2016,55590,-12044.5,43545.5,,,,,,,,0,
IOM,FM10,2000,WT01,20002852,0,BLOCKED FOR ACQ,4600260070,10,1,24/03/2016,Boats,32ft Open Type Passenger Skiff Boat,32ft Open Type Passenger Skiff Boat,,,FM30-FM0B,"Chuuk, Federated States of Micronesia",TKK-OFF,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMY,Straight Line Dep. based on useful lives,5,0,24/03/2016,01/03/2016,55590,-12044.5,43545.5,,,,,,,,0,
IOM,FM10,2000,WT01,20002853,0,BLOCKED FOR ACQ,4600260070,30,1,08/05/2016,Boats,32ft Open Type Passenger Skiff Boat,32ft Open Type Passenger Skiff Boat,,,FM20-FM0C,"Yap, Federated States of Micronesia",YAP-OFF,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMY,Straight Line Dep. based on useful lives,5,0,08/05/2016,01/05/2016,55840,-10237.33,45602.67,,,,,,,,0,
IOM,FM10,2000,WT01,20002858,0,BLOCKED FOR ACQ,4600261504,10,1,07/10/2016,Barge,"Aluminum Barge 48""x39""x20","Aluminum Barge 48""x39""x20",BAPS1400789,BEANJ 1034156,FM30-FM0B,"Chuuk, Federated States of Micronesia",TKK-OFF,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMY,Straight Line Dep. based on useful lives,5,0,07/10/2016,01/10/2016,182780,-18278,164502,,,,,,,,0,
IOM,FM10,2000,WT01,20002859,0,BLOCKED FOR ACQ,4600261504,10,1,07/10/2016,Barge,"Aluminum Barge 48""x39""x20","Aluminum Barge 48""x39""x20",BAPS1407009,BEANJ 1034159,FM30-FM0B,"Chuuk, Federated States of Micronesia",TKK-OFF,0,,CS0730,Maysak reconstruction project -FM10,30/06/2018,CS.0730.FM10.87.01.001,IOMY,Straight Line Dep. based on useful lives,5,0,07/10/2016,01/10/2016,182780,-18278,164502,,,,,,,,0,
IOM,FM10,5000,AV01,50285714,0,BLOCKED FOR ACQ,4600215379,50,1,14/05/2015,Projector,Infocus IN112A,Projector,BMYB44500596,,FM30-FM0B,"Chuuk, Federated States of Micronesia",0,0,,DP0921,"PREPARE program-disaster response, FM10",30/06/2018,DP.0921.FM10.12.05.001,IOMI,IOM Immediate Depreciation Method,3,0,14/05/2015,01/05/2015,217.72,-217.72,0,,,,,,,,0,
IOM,FM10,5000,AV01,50285716,0,BLOCKED FOR ACQ,4600215379,60,1,14/05/2015,Projector Screen,Elite Screens Q100H1 100-Inch Portable Projection,Projector Screen,,,FM30-FM0B,"Chuuk, Federated States of Micronesia",0,0,,DP0921,"PREPARE program-disaster response, FM10",30/06/2018,DP.0921.FM10.12.05.001,IOMI,IOM Immediate Depreciation Method,3,0,14/05/2015,01/05/2015,1391.71,-1391.71,0,,,,,,,,0,
